method,path,authentication,permission,property_and_restaurant_scope,csrf,rate_limit,input_model_and_parameters,output_model,handler_calls_side_effect_hints,audit_event,handler,source
GET,/,Guest property resolved from Host/gateway/config; approved guest source network required; no session token.,N/A (public or guest session/network policy; no admin RBAC permission).,Guest property resolved from Host/gateway/config; source network policy enforced; no restaurant resource scope.,No (safe method),No endpoint-specific counter identified; network/session/property guards may still apply.,No request body or path/query parameters documented.,HTML FileResponse (or access-restricted HTML response when guest network is denied),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,index,app/main.py route + middleware + app/admin_route_policies.json
GET,/admin,Admin session cookie required; unauthenticated requests redirect to /admin/login.,N/A (page access control is described in authentication; no route RBAC permission).,Admin UI shell; property access is enforced on API requests.,No (safe method),No endpoint-specific counter identified; network/session/property guards may still apply.,No request body or path/query parameters documented.,FileResponse (handler-selected file/media type),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,admin,app/main.py route + middleware + app/admin_route_policies.json
GET,/admin/login,Public static admin login page; no session required.,N/A (page access control is described in authentication; no route RBAC permission).,Global static login page; no property or restaurant resource scope.,No (safe method),No endpoint-specific counter identified; network/session/property guards may still apply.,No request body or path/query parameters documented.,FileResponse (handler-selected file/media type),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,admin_login_page,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/audit,Admin session cookie required.,audit.view,"Global or actor-property scope enforced by the handler/auth store. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,username(query):string default=; property_id(query):string default=; role(query):string default=; action(query):string default=; resource(query):string default=; start_at(query):integer | null; end_at(query):integer | null; limit(query):integer default=100,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,list_admin_audit,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/auth/change-password,Admin session cookie required.,None (session/auth endpoint; no additional RBAC permission).,"Account/session scope; user/property assignment enforced by auth store where applicable. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: AdminPasswordChangePayload: current_password:string [1..256] required; new_password:string [12..256] required (required body),dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),change_admin_password,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/auth/login,Public admin authentication/recovery endpoint; no admin session required.,None (session/auth endpoint; no additional RBAC permission).,"Account/session scope; user/property assignment enforced by auth store where applicable. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (public admin authentication/recovery endpoint).,20 failed attempts per peer IP / 5 min,Body application/json: AdminLoginPayload: username:string [3..64] required; password:string [1..256] required; remember_me:boolean default=False (required body),dict (handler-defined shape),admin_auth.login,No admin audit event identified at route boundary; domain/helper events may apply.,admin_login,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/auth/logout,Admin session cookie required.,None (session/auth endpoint; no additional RBAC permission).,"Account/session scope; user/property assignment enforced by auth store where applicable. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,No request body or path/query parameters documented.,dict (handler-defined shape),admin_auth.logout,middleware: api.post on successful response (<400),admin_logout,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/auth/me,Admin session cookie required.,None (session/auth endpoint; no additional RBAC permission).,"Account/session scope; user/property assignment enforced by auth store where applicable. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,No request body or path/query parameters documented.,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,current_admin,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/auth/password-reset/confirm,Public admin authentication/recovery endpoint; no admin session required.,None (session/auth endpoint; no additional RBAC permission).,"Account/session scope; user/property assignment enforced by auth store where applicable. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (public admin authentication/recovery endpoint).,30 per peer IP/hour + 10 per hashed token/hour,Body application/json: AdminPasswordResetConfirmPayload: token:string [20..500] required; new_password:string [12..256] required (required body),dict (handler-defined shape),admin_auth.consume_password_reset,No admin audit event identified at route boundary; domain/helper events may apply.,confirm_admin_password_reset,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/auth/password-reset/request,Public admin authentication/recovery endpoint; no admin session required.,None (session/auth endpoint; no additional RBAC permission).,"Account/session scope; user/property assignment enforced by auth store where applicable. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (public admin authentication/recovery endpoint).,12 per peer IP/hour + 3 per hashed account/hour,Body application/json: AdminPasswordResetRequestPayload: username:string [3..64] required (required body),dict (handler-defined shape),admin_auth.create_password_reset,explicit: auth.password_reset_requested; ,request_admin_password_reset,app/main.py route + middleware + app/admin_route_policies.json
